name,gc_content,Gtex_kidney,gene_disease_ass_count,oncodb_expression,orth_count,gene_length,HPA_kidney,mf_coal,bp_coal,cc_coal,biogrid_coal,kegg_coal,reactome_coal,ucsc_tfbs_coal,up_tissue_coal,transcript_count
ENSG00000006607,36.63,0.696623,6,4.04262359676389,332,32739,9.1,2.0,10.0,3.0,68.0,2.0,11.0,96.0,6.0,1
ENSG00000006611,42.77,0.388147,1,0.0,329,82252,54.5,3.0,15.0,14.0,33.0,,4.0,88.0,5.0,5
ENSG00000006638,53.36,14.16475,29,1.24680153557471,322,5396,1.2,4.0,19.0,5.0,68.0,3.0,14.0,52.0,7.0,1
ENSG00000006740,56.33,11.897365,0,-0.48599258808269,240,3796,2.6,4.0,12.0,10.0,38.0,,8.0,136.0,4.0,1
ENSG00000007062,43.6,3.229175,2,-0.636323705316022,265,50018,21.1,4.0,7.0,16.0,18.0,1.0,,65.0,4.0,2
ENSG00000007129,35.32,12.44665,0,-0.0899911091095717,5,109549,0.1,,,1.0,92.0,,,6.0,1.0,8
ENSG00000007168,38.35,10.64619,0,-0.447523721172681,265,209420,41.7,11.0,57.0,26.0,159.0,2.0,37.0,124.0,9.0,14
ENSG00000007171,41.85,45.584285,11,-1.68212637800095,280,98682,0.4,17.0,34.0,10.0,207.0,19.0,17.0,70.0,9.0,14
ENSG00000007376,38.11,9.547695,14,-0.525393032260738,335,354629,3.9,3.0,2.0,,9.0,,,67.0,2.0,11
ENSG00000007944,37.17,9.33878,13,-0.370701984045692,333,380658,21.8,5.0,12.0,3.0,59.0,1.0,14.0,93.0,3.0,28
ENSG00000008018,42.08,9.319465,7,-0.911026268557427,335,84715,181.4,4.0,32.0,12.0,323.0,8.0,153.0,45.0,5.0,4
ENSG00000008118,53.55,14.0938,2,-0.0004428723737583,262,15050,4.9,7.0,1.0,5.0,16.0,4.0,,72.0,,3
ENSG00000008277,53.51,13.8782,0,-0.57709332490626,338,20577,3.8,3.0,8.0,5.0,20.0,,2.0,95.0,2.0,8
ENSG00000008311,39.78,79.44445,4,-0.147484075734324,340,18187,14.0,9.0,5.0,6.0,53.0,2.0,3.0,72.0,1.0,2
ENSG00000008324,53.41,0.03679215,44,0.0,326,6906,14.9,2.0,2.0,1.0,109.0,,,,3.0,4
ENSG00000008382,48.45,15.4707,2,0.0457697477897045,306,15452,13.1,7.0,3.0,,9.0,,,25.0,3.0,9
ENSG00000008394,38.61,28.0629,10,0.206930496283603,274,43217,396.6,5.0,10.0,10.0,125.0,12.0,8.0,43.0,4.0,4
ENSG00000008441,46.72,4.93848,0,-0.26910796199673,256,28588,9.0,8.0,5.0,3.0,30.0,,4.0,163.0,6.0,2
ENSG00000008517,35.92,6.67993,3,-0.170976038354657,62,13973,123.7,2.0,9.0,3.0,31.0,1.0,10.0,21.0,4.0,4
ENSG00000010219,42.02,12.7103,40,-0.271430843460976,316,87485,3.5,9.0,3.0,4.0,18.0,,,71.0,6.0,12
ENSG00000010244,40.51,0.0,0,0.0,265,19170,53.6,6.0,9.0,9.0,72.0,,,84.0,3.0,11
ENSG00000010270,59.5,12.44605,4,-0.0558261091229063,339,24261,34.3,3.0,2.0,9.0,52.0,,5.0,46.0,9.0,4
ENSG00000010292,56.2,162.3205,20,-0.342991121380629,336,6901,7.4,3.0,4.0,11.0,149.0,,6.0,111.0,8.0,29
ENSG00000010361,51.05,24.22805,14,1.96206529074128,264,8875,10.3,1.0,16.0,4.0,23.0,,3.0,80.0,4.0,3
ENSG00000010610,41.04,5.353565,4,-0.357921445419072,200,83992,7.9,18.0,44.0,11.0,101.0,12.0,31.0,91.0,5.0,40
ENSG00000010626,44.16,0.0,0,0.368676960888623,265,49276,6.3,1.0,,2.0,13.0,,,71.0,2.0,5
ENSG00000010810,49.2,21.22045,7,-1.78802645208829,323,16545,14.1,26.0,67.0,18.0,369.0,14.0,89.0,145.0,7.0,16
ENSG00000010818,66.27,0.1191255,2,0.0,339,1914,6.0,5.0,1.0,2.0,18.0,,,163.0,3.0,1
ENSG00000011028,47.47,33.61575,1,-0.483083804911058,322,3850,5.4,4.0,3.0,3.0,66.0,2.0,5.0,127.0,3.0,5
ENSG00000011132,39.28,8.424105,1,-0.470190586915997,241,111136,1.8,4.0,5.0,4.0,62.0,,3.0,44.0,5.0,23
ENSG00000011198,42.26,2.194425,4,-0.265877188007739,325,348044,11.4,6.0,8.0,5.0,39.0,1.0,4.0,56.0,2.0,9
ENSG00000011454,52.94,3.380165,1,3.01449001854256,327,28391,20.1,4.0,4.0,3.0,86.0,,4.0,108.0,8.0,9
ENSG00000011465,39.79,6.55162,4,-0.293205657680061,336,106329,398.4,7.0,22.0,6.0,27.0,2.0,24.0,42.0,4.0,14
ENSG00000011566,44.55,13.7787,0,0.501273011042892,274,191178,24.7,7.0,5.0,,77.0,1.0,,91.0,5.0,20
ENSG00000011600,49.72,7.66824,0,-0.0836258461695695,179,124949,13.3,5.0,34.0,5.0,80.0,2.0,14.0,54.0,4.0,12
ENSG00000011638,41.45,11.29022,1,1.46831502921257,258,29528,12.6,1.0,,3.0,69.0,,,6.0,4.0,12
ENSG00000012660,52.28,16.15155,17,-0.19638009162724,343,10510,39.3,5.0,13.0,8.0,393.0,4.0,8.0,78.0,9.0,18
ENSG00000013016,41.06,6.45405,5,0.024376719591716,243,288604,15.6,5.0,16.0,12.0,20.0,1.0,2.0,70.0,4.0,15
ENSG00000013288,34.59,0.523823,11,0.149063237266845,292,374513,10.2,4.0,2.0,4.0,74.0,1.0,3.0,42.0,5.0,3
ENSG00000013374,45.43,5.01956,5,-0.56124218267214,330,152707,29.2,1.0,7.0,3.0,37.0,,3.0,44.0,5.0,14
ENSG00000013392,37.9,17.69195,0,0.415599639270455,256,136013,4.5,1.0,,,8.0,,,36.0,4.0,15
ENSG00000013441,49.97,10.021495,0,0.105858573174861,214,20540,33.4,7.0,5.0,2.0,202.0,1.0,,55.0,5.0,10
ENSG00000013503,59.0,0.1111352,3,0.198079744536578,345,5989,6.8,4.0,7.0,3.0,112.0,2.0,12.0,121.0,6.0,6
ENSG00000013583,43.81,9.535915,0,0.415032401538035,253,75757,59.2,1.0,2.0,3.0,19.0,,8.0,60.0,3.0,8
ENSG00000014138,48.77,3.1049,3,-0.800058036081527,297,10933,2.5,2.0,5.0,4.0,89.0,1.0,28.0,65.0,6.0,3
ENSG00000015592,42.18,10.587595,0,-0.31901633330938,256,50417,0.1,1.0,3.0,4.0,35.0,,,61.0,3.0,9
ENSG00000016864,43.43,22.3155,0,-0.50751013376264,344,38079,40.8,2.0,,3.0,49.0,,,84.0,6.0,7
ENSG00000018510,43.38,18.5549,14,-1.22100013057735,342,14959,18.3,5.0,3.0,7.0,184.0,3.0,7.0,62.0,5.0,6
ENSG00000018699,41.66,4.239375,2,-0.679931073951474,335,117837,7.3,1.0,,,92.0,,,94.0,2.0,21
ENSG00000018869,41.55,4.721485,12,-0.657179998240126,111,466724,3.0,6.0,4.0,1.0,3.0,1.0,3.0,15.0,3.0,10
ENSG00000019144,41.21,11.64838,1,-0.432384189485081,305,4578,9.9,1.0,4.0,1.0,32.0,,,132.0,9.0,2
ENSG00000019186,47.8,24.81785,3,-4.83454336874011,346,36877,9.5,6.0,7.0,3.0,59.0,5.0,12.0,47.0,,7
ENSG00000019505,49.0,51.61615,4,-0.126500415980442,290,7628,9.0,5.0,6.0,7.0,5.0,,,98.0,2.0,1
ENSG00000019582,40.31,5.02721,0,-0.297448409829539,288,13729,567.0,13.0,55.0,25.0,161.0,3.0,5.0,39.0,6.0,8
ENSG00000019991,54.22,10.158965,4,-2.35754320135931,253,11143,9.6,7.0,41.0,4.0,44.0,16.0,37.0,106.0,6.0,3
ENSG00000020181,36.24,0.94885,14,-1.45107564353241,315,961103,5.2,2.0,12.0,5.0,4.0,,,113.0,6.0,11
ENSG00000021355,41.87,33.1373,7,-5.08296016868483,197,20903,22.4,3.0,4.0,8.0,53.0,,3.0,24.0,7.0,4
ENSG00000021574,39.6,5.688485,1,-0.662766670074455,327,67242,6.0,9.0,22.0,20.0,46.0,,8.0,55.0,5.0,4
ENSG00000021776,42.64,22.5314,54,-0.42969638407181,341,36871,5.2,8.0,3.0,6.0,172.0,1.0,10.0,115.0,5.0,9
ENSG00000021826,41.86,8.682755,2,0.0,339,70468,1.9,11.0,30.0,6.0,144.0,7.0,3.0,142.0,5.0,11
ENSG00000023041,38.77,4.24758,5,0.0,344,38003,46.7,5.0,5.0,4.0,50.0,,,42.0,1.0,27
ENSG00000023171,48.01,7.48392,19,-0.872400038761217,237,22395,15.7,4.0,5.0,6.0,68.0,,,130.0,3.0,8
ENSG00000023608,39.06,3.05839,4,-0.180480354385022,330,55382,6.4,4.0,2.0,3.0,112.0,,7.0,37.0,4.0,8
ENSG00000025434,52.41,53.1188,6,-0.273132217254542,328,5153,14.5,14.0,38.0,7.0,56.0,4.0,28.0,112.0,6.0,17
ENSG00000025772,52.13,5.214665,8,0.943210088241026,329,32183,24.2,2.0,1.0,7.0,94.0,,,43.0,6.0,23
ENSG00000026025,53.34,50.7341,2,-0.029572584690524,280,8711,215.3,8.0,17.0,16.0,652.0,2.0,24.0,74.0,21.0,7
ENSG00000026950,35.25,12.939745,1,-0.97406218220707,10,392360,11.8,2.0,6.0,3.0,25.0,,3.0,17.0,3.0,17
ENSG00000027869,38.54,10.857155,0,-0.458180190464174,192,84523,0.2,2.0,5.0,2.0,54.0,1.0,4.0,58.0,5.0,11
ENSG00000028116,52.83,2.629945,3,0.0145014895099823,321,52330,10.8,7.0,9.0,8.0,205.0,,20.0,98.0,7.0,5
ENSG00000028277,38.98,11.7181,0,-0.742832557578939,251,130727,0.6,12.0,8.0,5.0,26.0,2.0,3.0,112.0,4.0,8
ENSG00000028839,39.87,257.8095,3,0.217575220383306,344,23824,8.7,3.0,6.0,2.0,39.0,6.0,,62.0,4.0,35
ENSG00000030066,40.74,6.001495,1,0.595393161643699,331,45257,14.3,2.0,14.0,7.0,143.0,2.0,88.0,92.0,10.0,6
ENSG00000030304,46.72,258.6965,1,-0.0116686946785566,335,11779,0.0,8.0,14.0,7.0,12.0,,2.0,98.0,,7
ENSG00000031003,38.84,1.248776,0,-1.09536477127974,333,19517,13.8,1.0,4.0,1.0,23.0,,7.0,84.0,4.0,11
ENSG00000031698,41.14,10.548945,20,-5.44469914201884,303,107961,69.5,8.0,9.0,4.0,101.0,1.0,8.0,103.0,6.0,6
ENSG00000033011,41.49,3.703215,0,-2.58825427123793,320,167699,12.7,2.0,3.0,4.0,38.0,3.0,10.0,48.0,4.0,11
ENSG00000033170,56.69,37.5037,2,-0.0629686479780355,261,9358,6.9,6.0,17.0,6.0,152.0,5.0,12.0,106.0,5.0,8
ENSG00000034713,40.5,0.5477315,16,-0.433552864751327,330,370380,149.4,7.0,11.0,9.0,145.0,6.0,6.0,63.0,5.0,10
ENSG00000035720,38.08,9.387005,2,-0.330850092999543,211,240491,9.3,7.0,15.0,6.0,21.0,,,46.0,3.0,12
ENSG00000036530,62.41,49.90165,0,0.251888848848658,253,2638,0.9,4.0,8.0,6.0,4.0,1.0,10.0,85.0,4.0,2
ENSG00000036565,36.48,81.7961,2,-0.122007146684767,306,21091,0.0,4.0,6.0,6.0,130.0,7.0,5.0,58.0,2.0,6
ENSG00000036828,58.44,10.40206,0,-2.10868338320617,335,19746,22.6,9.0,33.0,10.0,23.0,3.0,7.0,95.0,4.0,20
ENSG00000037280,42.48,42.65455,0,-0.0886484576640923,333,16575,4.3,10.0,28.0,6.0,37.0,8.0,8.0,88.0,3.0,10
ENSG00000038002,39.63,6.438865,1,0.636645567549212,342,64966,15.4,5.0,3.0,6.0,32.0,2.0,3.0,62.0,4.0,4
ENSG00000038210,40.16,1.379435,0,0.0,333,84697,13.0,2.0,5.0,5.0,62.0,3.0,8.0,47.0,5.0,10
ENSG00000038532,66.61,46.92705,1,-0.384506020513328,331,6779,6.0,,8.0,6.0,21.0,,,151.0,5.0,28
ENSG00000039123,44.95,0.0,0,0.0,328,147318,21.0,5.0,7.0,6.0,185.0,1.0,7.0,66.0,9.0,4
ENSG00000039523,37.54,162.984,1,-0.266368455945717,311,8210,22.9,2.0,10.0,6.0,15.0,,,84.0,11.0,6
ENSG00000039537,39.25,5.431865,7,0.409041735526888,310,58858,1.8,1.0,7.0,3.0,12.0,4.0,5.0,81.0,4.0,13
ENSG00000040341,59.37,128.8985,0,0.277628308125237,320,1611,29.8,7.0,9.0,11.0,181.0,,,123.0,14.0,3
ENSG00000040731,49.61,26.6612,0,-0.552696717944938,153,28677,0.0,2.0,8.0,8.0,6.0,,4.0,101.0,2.0,11
ENSG00000041357,62.29,10.04197,0,0.614578511310617,336,54696,98.3,3.0,32.0,11.0,213.0,8.0,152.0,59.0,9.0,5
ENSG00000041802,52.69,15.5414,0,0.220266352338081,344,21542,16.7,3.0,3.0,6.0,142.0,1.0,,78.0,6.0,13
ENSG00000042317,37.95,10.870555,0,-0.337328213488593,336,33561,9.6,1.0,6.0,7.0,22.0,,,43.0,3.0,15
ENSG00000042832,37.56,5.18358,0,-0.332444986198964,319,47633,1.5,3.0,6.0,2.0,5.0,2.0,,118.0,1.0,3
ENSG00000043143,38.66,18.7247,1,0.0808166912259003,325,43092,11.3,3.0,10.0,3.0,46.0,,3.0,142.0,7.0,13
ENSG00000043591,39.07,0.577818,3,1.77712272063819,310,608050,0.8,9.0,17.0,4.0,11.0,11.0,14.0,80.0,1.0,8
ENSG00000044574,36.65,13.8457,0,-0.856674551657218,331,51682,149.8,14.0,46.0,20.0,1136.0,9.0,19.0,67.0,11.0,12
ENSG00000047056,54.13,28.9657,0,-0.889671764918571,299,26340,6.3,,,4.0,70.0,,,72.0,2.0,3
ENSG00000047249,55.88,0.520341,4,1.17056605679207,336,5885,61.1,5.0,11.0,7.0,111.0,11.0,27.0,78.0,9.0,10
ENSG00000047315,40.95,7.85805,0,0.0450489801730176,333,29302,36.0,8.0,15.0,7.0,267.0,2.0,73.0,85.0,5.0,4
ENSG00000047346,47.97,2.240075,14,-3.26963828117847,339,30486,12.2,1.0,,,10.0,,,88.0,8.0,9
ENSG00000047457,51.9,0.0,0,0.351125583704672,280,95081,3.4,4.0,7.0,7.0,52.0,2.0,15.0,77.0,5.0,4
ENSG00000047662,51.78,0.2766365,0,0.0,244,31396,0.2,,,,4.0,,,82.0,1.0,3
ENSG00000047932,42.11,5.341555,1,-0.341574388794605,341,105413,14.7,3.0,7.0,11.0,266.0,,8.0,56.0,5.0,19
ENSG00000047936,52.04,11.246095,5,-0.0823844892209483,258,8778,0.3,6.0,15.0,7.0,7.0,,,115.0,,18
ENSG00000048028,35.94,3.07014,6,-2.33318625447859,334,320046,10.0,3.0,11.0,5.0,108.0,,4.0,91.0,7.0,3
ENSG00000048052,66.16,18.65495,0,1.07169309468553,257,5847,2.8,13.0,23.0,6.0,79.0,3.0,15.0,161.0,5.0,14
ENSG00000048140,47.34,16.39945,1,-0.872510667366587,171,41978,11.3,2.0,4.0,3.0,71.0,,,47.0,2.0,4
ENSG00000048162,40.93,16.7738,0,0.311848931087755,341,7913,13.1,1.0,1.0,3.0,148.0,,,42.0,7.0,5
ENSG00000048405,40.09,88.76725,4,-0.0945521164932843,278,30372,8.3,2.0,,1.0,38.0,,,90.0,4.0,13
ENSG00000048540,38.13,12.35772,0,-0.620610815496204,326,121325,3.0,2.0,4.0,1.0,150.0,,,130.0,3.0,5
ENSG00000048649,37.75,3.09368,0,0.284193417600363,334,95017,14.4,4.0,16.0,3.0,89.0,,4.0,110.0,9.0,17
ENSG00000049130,46.35,408.232,8,0.39049962661584,335,5093,16.1,4.0,20.0,9.0,16.0,8.0,16.0,96.0,5.0,6
ENSG00000049245,40.81,35.32005,0,-0.226675478043447,321,58662,77.7,4.0,18.0,22.0,256.0,2.0,29.0,75.0,7.0,7
ENSG00000050405,37.82,6.761005,43,-0.0159672095943243,328,157581,45.7,5.0,7.0,8.0,380.0,,,93.0,12.0,17
ENSG00000050426,37.72,2.79635,3,0.409160938962158,312,23110,33.0,2.0,,6.0,72.0,,,60.0,3.0,4
ENSG00000050748,45.57,4.78046,0,-0.188269484156933,260,38072,21.3,9.0,18.0,5.0,187.0,74.0,31.0,90.0,3.0,12
ENSG00000051009,47.72,0.06838635,2,0.0,222,11275,8.2,1.0,6.0,2.0,22.0,,,102.0,6.0,1
ENSG00000051108,42.17,4.097305,5,0.142264687744644,331,458634,194.9,4.0,17.0,6.0,49.0,1.0,5.0,42.0,9.0,23
ENSG00000051620,33.94,5.129505,0,-3.53924851434365,240,429238,24.0,2.0,4.0,5.0,10.0,,3.0,60.0,8.0,4
ENSG00000052749,63.09,8.49608,15,0.312467294425015,341,11226,3.2,1.0,1.0,7.0,255.0,,,40.0,5.0,6
ENSG00000052802,52.13,33.23985,0,-0.0055421244363236,331,209209,50.2,4.0,5.0,5.0,79.0,2.0,4.0,47.0,6.0,9
ENSG00000053372,41.21,3.59965,0,-4.84951805396983,332,335380,9.3,2.0,4.0,4.0,126.0,,,57.0,4.0,6
ENSG00000053702,49.32,10.41393,0,-1.51937896375016,307,7991,7.1,2.0,1.0,2.0,6.0,,,55.0,4.0,6
ENSG00000053900,47.58,5.40324,0,-1.16582648707307,339,11072,10.4,3.0,9.0,5.0,127.0,5.0,46.0,79.0,6.0,4
ENSG00000054116,43.2,1.215355,0,0.785461339040892,336,26562,55.8,1.0,4.0,6.0,61.0,,10.0,97.0,5.0,9
ENSG00000054148,44.86,37.7221,4,0.02526647745005,304,363128,76.0,4.0,8.0,5.0,42.0,,,82.0,5.0,13
ENSG00000054277,58.83,25.0085,0,0.904608048754627,309,26083,4.2,2.0,3.0,2.0,2.0,,15.0,51.0,6.0,6
ENSG00000054356,41.01,2.45962,0,1.89698854906082,241,128510,0.3,6.0,12.0,11.0,128.0,1.0,,84.0,4.0,5
ENSG00000054392,38.27,4.457905,1,0.0,337,14173,2.2,9.0,3.0,8.0,148.0,2.0,6.0,52.0,8.0,8
ENSG00000054598,52.58,5.992475,1,-0.379311617011167,253,4746,19.8,17.0,58.0,5.0,83.0,,,113.0,3.0,19
ENSG00000054611,45.84,4.934455,4,0.827105085331891,315,134051,8.7,4.0,2.0,,31.0,,,136.0,10.0,9
ENSG00000054654,37.59,8.7508,6,-3.77021529626015,232,279918,13.7,3.0,6.0,18.0,169.0,,4.0,135.0,10.0,26
ENSG00000054690,39.5,168.54,8,-0.0427158533553363,335,69085,2.1,,,1.0,9.0,,,86.0,3.0,15
ENSG00000055044,53.01,0.2112935,9,0.0,341,16766,24.1,5.0,2.0,10.0,253.0,1.0,10.0,47.0,8.0,4
ENSG00000055483,44.08,11.80395,0,-0.672463499095472,323,85993,12.2,4.0,11.0,6.0,128.0,,,70.0,9.0,7
ENSG00000055609,54.37,4.86875,7,-1.93211677691596,283,4075,9.0,10.0,6.0,4.0,78.0,2.0,11.0,143.0,7.0,2
ENSG00000055732,47.03,31.93585,1,-0.235365063896119,327,25191,5.0,4.0,4.0,7.0,72.0,1.0,4.0,39.0,1.0,9
ENSG00000056558,45.91,3.07221,0,0.0111465570738765,281,446763,3.1,7.0,10.0,4.0,316.0,7.0,5.0,23.0,6.0,17
ENSG00000057019,52.29,23.75285,1,-0.816416652174381,339,46300,11.1,1.0,3.0,2.0,58.0,,,83.0,5.0,8
ENSG00000057149,38.84,7.835325,1,-1.07454784647708,34,17798,0.0,4.0,13.0,8.0,187.0,1.0,3.0,14.0,7.0,3
ENSG00000057252,36.84,11.32995,27,-1.96573383286688,336,88058,12.8,7.0,9.0,4.0,308.0,2.0,6.0,54.0,4.0,6
ENSG00000057663,48.48,0.8082145,56,-0.57119003459818,331,1482,14.5,1.0,42.0,10.0,130.0,9.0,10.0,59.0,6.0,1
ENSG00000057704,49.4,14.03615,0,0.101091326181323,324,27040,8.2,3.0,,4.0,32.0,,,91.0,1.0,25
ENSG00000058091,38.71,20.5054,4,-0.554957290037503,244,57671,20.9,6.0,7.0,7.0,41.0,1.0,,145.0,5.0,9
ENSG00000058262,38.41,8.841045,30,-1.95620822695896,256,516114,65.2,5.0,14.0,7.0,165.0,4.0,8.0,67.0,5.0,51
ENSG00000058272,35.94,36.0531,0,-0.287251210243256,335,27702,18.4,5.0,13.0,13.0,216.0,8.0,15.0,116.0,11.0,14
ENSG00000058729,51.83,2.38908,0,0.613217200216233,341,16298,9.8,6.0,7.0,6.0,85.0,1.0,4.0,37.0,5.0,5
ENSG00000058799,33.55,0.361389,0,0.0,345,8353,9.4,2.0,1.0,9.0,41.0,,,59.0,5.0,4
ENSG00000059378,51.84,0.2101165,0,0.0,251,50875,5.0,4.0,1.0,1.0,44.0,,,47.0,5.0,5
ENSG00000059728,39.06,57.54625,0,-0.495391759626138,309,15137,3.7,7.0,2.0,5.0,44.0,,,54.0,3.0,2
ENSG00000060069,49.55,8.181875,0,-0.365928579479485,331,15369,4.1,1.0,5.0,6.0,193.0,,7.0,49.0,7.0,3
ENSG00000060140,50.05,4.031735,12,-0.308217932912051,288,50780,0.4,8.0,4.0,3.0,25.0,,,51.0,4.0,1
ENSG00000060749,41.18,7.319915,0,-0.381704531487507,343,49839,5.6,,,1.0,53.0,,,89.0,8.0,5
ENSG00000060762,42.94,0.352053,0,0.0,329,34920,262.3,2.0,1.0,4.0,5.0,1.0,4.0,22.0,5.0,3
ENSG00000060982,36.94,10.56763,3,-1.76935724014424,326,262117,1.2,7.0,7.0,2.0,63.0,10.0,3.0,54.0,4.0,19
ENSG00000061918,34.16,16.29475,4,-0.168373198823788,340,64041,13.3,10.0,9.0,6.0,31.0,11.0,5.0,73.0,6.0,9
ENSG00000061938,38.37,5.404275,0,-1.17128999389155,310,135414,4.0,15.0,12.0,14.0,120.0,,,105.0,6.0,12
ENSG00000062282,49.42,9.541715,0,0.244503998829138,331,413082,3.4,8.0,23.0,10.0,6.0,3.0,7.0,71.0,6.0,11
ENSG00000062822,37.19,4.97079,0,-0.0236714327259313,245,148332,1.7,12.0,27.0,9.0,202.0,5.0,44.0,92.0,5.0,11
ENSG00000063177,37.59,1.683925,12,0.64537259896803,265,32725,378.3,3.0,8.0,11.0,444.0,2.0,36.0,82.0,7.0,12
ENSG00000063244,38.75,39.3544,0,-0.203828704363808,191,54629,37.7,6.0,11.0,7.0,521.0,1.0,10.0,118.0,8.0,26
ENSG00000063245,57.8,0.7070865,0,0.150501128016407,170,11184,26.3,4.0,8.0,8.0,103.0,1.0,8.0,95.0,7.0,10
ENSG00000063761,46.62,0.40739,7,0.0,338,77705,5.3,2.0,5.0,3.0,61.0,,,102.0,2.0,7
ENSG00000064012,37.26,8.755605,2,-5.95231748937905,204,89597,10.8,14.0,52.0,13.0,184.0,36.0,44.0,18.0,5.0,3
ENSG00000064042,46.44,16.21725,1,-0.171639799680487,257,31303,29.2,3.0,6.0,2.0,91.0,,,152.0,11.0,14
ENSG00000064115,67.89,41.18285,0,-0.631376050554744,339,3864,260.4,,3.0,3.0,7.0,,,54.0,1.0,13
